MUNICIPIO;ADS_NOME;MACRO_NOME
ABAIARA;BREJO SANTO;CARIRI
ACARAPE;MARACANAU  ;FORTALEZA
ACARAÚ;ACARAU     ;SOBRAL
ACOPIARA;IGUATU     ;CARIRI
AIUABA;TAUA       ;SERTÃO CENTRAL
ALCÂNTARAS;SOBRAL     ;SOBRAL
ALTANEIRA;CRATO      ;CARIRI
ALTO SANTO;LIMOEIRO   ;LITORAL LESTE/JAGUARIBE
AMONTADA;ITAPIPOCA  ;FORTALEZA
ANTONINA DO NORTE;CRATO      ;CARIRI
APUIARÉS;CAUCAIA    ;FORTALEZA
AQUIRAZ;FORTALEZA  ;FORTALEZA
ARACATI;ARACATI    ;LITORAL LESTE/JAGUARIBE
ARACOIABA;BATURITE   ;FORTALEZA
ARARENDÁ;CRATEUS    ;SOBRAL
ARARIPE;CRATO      ;CARIRI
ARATUBA;BATURITE   ;FORTALEZA
ARNEIROZ;TAUA       ;SERTÃO CENTRAL
ASSARÉ;CRATO      ;CARIRI
AURORA;BREJO SANTO;CARIRI
BAIXIO;ICO        ;CARIRI
BANABUIU;QUIXADA    ;SERTÃO CENTRAL
BARBALHA;JUAZEIRO   ;CARIRI
BARREIRA;MARACANAU  ;FORTALEZA
BARRO;BREJO SANTO;CARIRI
BARROQUINHA;CAMOCIM    ;SOBRAL
BATURITÉ;BATURITE   ;FORTALEZA
BEBERIBE;CASCAVEL   ;FORTALEZA
BELA CRUZ;ACARAU     ;SOBRAL
BOA VIAGEM;CANINDE    ;SERTÃO CENTRAL
BREJO SANTO;BREJO SANTO;CARIRI
CAMOCIM;CAMOCIM    ;SOBRAL
CAMPOS SALES;CRATO      ;CARIRI
CANINDÉ;CANINDE    ;SERTÃO CENTRAL
CAPISTRANO;BATURITE   ;FORTALEZA
CARIDADE;CANINDE    ;SERTÃO CENTRAL
CARIRÉ;SOBRAL     ;SOBRAL
CARIRIAÇU;JUAZEIRO   ;CARIRI
CARIÚS;IGUATU     ;CARIRI
CARNAUBAL;TIANGUA    ;SOBRAL
CASCAVEL;CASCAVEL   ;FORTALEZA
CATARINA;IGUATU     ;CARIRI
CATUNDA;SOBRAL     ;SOBRAL
CAUCAIA;CAUCAIA    ;FORTALEZA
CEDRO;ICO        ;CARIRI
CHAVAL;CAMOCIM    ;SOBRAL
CHORÓ;QUIXADA    ;SERTÃO CENTRAL
CHOROZINHO;CASCAVEL   ;FORTALEZA
COREAÚ;SOBRAL     ;SOBRAL
CRATEÚS;CRATEUS    ;SOBRAL
CRATO;CRATO      ;CARIRI
CROATÁ;TIANGUA    ;SOBRAL
CRUZ;ACARAU     ;SOBRAL
DEPUTADO IRAPUAN PINHEIRO;IGUATU     ;CARIRI
ERERÊ;LIMOEIRO   ;LITORAL LESTE/JAGUARIBE
EUSÉBIO;FORTALEZA  ;FORTALEZA
FARIAS BRITO;CRATO      ;CARIRI
FORQUILHA;SOBRAL     ;SOBRAL
FORTALEZA;FORTALEZA  ;FORTALEZA
FORTIM;ARACATI    ;LITORAL LESTE/JAGUARIBE
FRECHEIRINHA;SOBRAL     ;SOBRAL
GENERAL SAMPAIO;CAUCAIA    ;FORTALEZA
GRAÇA;SOBRAL     ;SOBRAL
GRANJA;CAMOCIM    ;SOBRAL
GRANJEIRO;JUAZEIRO   ;CARIRI
GROAÍRAS;SOBRAL     ;SOBRAL
GUAIUBA;MARACANAU  ;FORTALEZA
GUARACIABA DO NORTE;TIANGUA    ;SOBRAL
GUARAMIRANGA;BATURITE   ;FORTALEZA
HIDROLÂNDIA;SOBRAL     ;SOBRAL
HORIZONTE;CASCAVEL   ;FORTALEZA
IBARETAMA;QUIXADA    ;SERTÃO CENTRAL
IBIAPINA;TIANGUA    ;SOBRAL
IBICUITINGA;QUIXADA    ;SERTÃO CENTRAL
