Codigo	Descri?o
1	BUCO MAXILO FACIAL
2	CARDIOLOGIA
3	CIRURGIA GERAL
4	ENDOCRINOLOGIA
5	GASTROENTEROLOGIA
6	GINECOLOGIA
8	NEFROLOGIAUROLOGIA
9	NEUROCIRURGIA
11	OFTALMOLOGIA
12	ONCOLOGIA
13	ORTOPEDIATRAUMATOLOGIA
14	OTORRINOLARINGOLOGIA
15	PLASTICA
16	TORACICA
67	TRANSPLANTE
90	QUEIMADO ADULTO
91	QUEIMADO PEDIATRICO
31	AIDS
32	CARDIOLOGIA
33	CLINICA GERAL
35	DERMATOLOGIA
36	GERIATRIA
37	HANSENOLOGIA
38	HEMATOLOGIA
40	NEFROUROLOGIA
41	NEONATOLOGIA
42	NEUROLOGIA
44	ONCOLOGIA
46	PNEUMOLOGIA
66	UNIDADE ISOLAMENTO
87	SAUDE MENTAL
88	QUEIMADO ADULTO
89	QUEIMADO PEDIATRICO
10	OBSTETRICIA CIRURGICA
43	OBSTETRICIA CLINICA
45	PEDIATRIA CLINICA
68	PEDIATRIA CIRURGICA
34	CRONICOS
47	PSIQUIATRIA
48	REABILITACAO
49	PNEUMOLOGIA SANITARIA
84	ACOLHIMENTO NOTURNO
7	CIRURGICO/DIAGNOSTICO/TERAPEUTICO
69	AIDS
71	INTERCORRENCIA POS-TRANSPLANTE
72	GERIATRIA
73	SAUDE MENTAL
51	UTI II ADULTO-SINDROME RESP. AGUDA GRAVE (SRAG)-COVID-19
52	UTI II PEDIATRICA-SINDROME RESP. AGUDA GRAVE (SRAG)-COVID-19
65	UNIDADE INTERMEDIARIA NEONATAL
74	UTI ADULTO - TIPO I
75	UTI ADULTO - TIPO II
76	UTI ADULTO - TIPO III
77	UTI PEDIATRICA - TIPO I
78	UTI PEDIATRICA - TIPO II
79	UTI PEDIATRICA - TIPO III
80	UTI NEONATAL - TIPO I
81	UTI NEONATAL - TIPO II
82	UTI NEONATAL - TIPO III
83	UTI DE QUEIMADOS
85	UTI CORONARIANA TIPO II - UCO TIPO II
86	UTI CORONARIANA TIPO III - UCO TIPO III
92	UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL
93	UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU
94	UNIDADE DE CUIDADOS INTERMEDIARIOS PEDIATRICO
95	UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO
96	SUPORTE VENTILAT?RIO PULMONAR - COVID-19
