cnes;razao_social;nome_fantasia;logradouro;numero;bairro;CEP;codigo_municipio;latitude;londitude;referencia
29793;YOLANDA MELO A R DE A CARNEIRO                              ;YOLANDA MELO A R DE A CARNEIRO                              ;RUA CONSELHEIRO JOSE JULIO              ;617;CENTRO              ;62010820;231290;-36.884.548;-403.545.572;202005
29807;CLINICA MEDICA GOMES EIRELI                                 ;PNEUMOCLINICA DO CEARA                                      ;RUA CORONEL JOSE INACIO                 ;371;CENTRO              ;62010790;231290;-36.905.891;-403.552.665;202005
32913;CICERA PRICILA BRITO SOUSA                                  ;CLINICA DA FAMILIA                                          ;LUIZ ROLIM                              ;282;CENTRO              ;63220000;230320;-70.430.889.481.169.100;-39.282.957.315.444.900;202005
37761;CLINICA SANTA IZABEL                                        ;CLINICA SANTA IZABEL                                        ;RUA PADRE JOSE DE SOUZA                 ;22;CENTRO              ;63580000;230740;-6.523.760;-39.525.774;202005
38997;CIBELE QUENTAL CALLOU                                       ;CIBELE QUENTAL CALLOU                                       ;MARIA NILDE COUTO BEM                   ;220;TRIANGULO           ;63041155;230730;-7.213;-39.315;202005
39128;CLINICA MEDICA MAIS SAUDE EIRELI                            ;CLINICA MAIS SAUDE                                          ;JULISSES DE OLIVEIRA LOPES              ;46;CENTRO              ;62760000;230210;-4.330.813.458.309.600;-3.887.608.230.113.980;202005
39640;MUNICIPIO DE CRUZ                                           ;UBS RITA PESSOA DA CUNHA                                    ;SOLIDAO                                 ;S/N       ;SOLIDAO             ;62595000;230425;-2.945.980;-40.416.505;202005
41254;CLINICA DE DERMATOLOGIA DERMUS CARIRI LTDA                  ;DERMUS CARIRI                                               ;CATULO DA PAIXAO CEARENSE               ;175;TRIANGULO           ;63041162;230730;-7.213;-39.315;202005
41874;UNIDADE BASICA DE SAUDE DE LAGOINHA                         ;UNIDADE BASICA DE SAUDE DE LAGOINHA                         ;RUA SDO                                 ;831;LAGOINHA            ;62886815;230523;-408.456;-3.850.002;202005
43729;INGRID ALMEIDA LEITE SOMBRA                                 ;INGRID ALMEIDA LEITE SOMBRA                                 ;AV PADRE CICERO                         ;2555;TRIANGULO           ;63010970;230730;-7.223.445;-393.238.822;202005
46078;CLINICA DE OFTALMOLOGIA E ASSOCIADOS DO CARIRI LTDA         ;CLINICA DE OFTALMOLOGIA E ASSOCIADOS DO CARIRI LTDA         ;SETE DE SETEMBRO                        ;240;CENTRO              ;63180000;230190;-7.305;-39.302;202005
46663;PREF M MONSENHOR TABOSA                                     ;EQUPE DE SAUDE DA FAMILIA DE SANTANA                        ;DISTRITO DE SANTANA                     ;S/N       ;ZONA RURAL          ;63780000;230860;-4.982.873.151.697.560;-400.506.591.796.875;202005
46965;MSP SERVICOS DE ODONTOLOGIA EIRELI                          ;CLINICA DRA MANOELA PIMENTA                                 ;AVENDIA SANTOS DUMONT                   ;5753;PAPICU              ;60175047;230440;-3.741.520;-38.480.162;202005
47287;PREFEITURA MUNICIPAL DE PARAMOTI                            ;ACADEMIA DA SAUDE DE PARAMOTI                               ;AVENIDA HONORATO FEIJO                  ;S/N       ;BELA VISTA          ;62736000;231040;-40.960.144;-392.437.753;202005
49093;TIAGO RIBEIRO                                               ;LABORATORIO POPULAR RIBEIRO                                 ;AV PREFEITO VITORIANO ANTUNES           ;2332;CENTRO              ;62850000;230350;-41.331.307.295.923.800;-3.823.751.538.991.920;202005
49107;LABORATORIO DE ANALISES CLINICA DR ALDECY PIRES LTDA        ;LAP LABORATORIO DR ALDECY PIRES                             ;RUA 13 DE MAIO                          ;152;SAO VICENTE         ;63530000;230330;-6.533.682;-39.498.543;202005
49247;AQUINO BELCHIOR SERVICOS MEDICOS HOSPITALARES S S LTDA      ;CLINICA DR ERIK NERY CIRURGIA PLASTICA                      ;RUA LIGIA MONTE                         ;220;COCO                ;60192360;230440;-3.748.076;-38.481.232;202005
50008;JOANA DAYSE DA ROCHA PORTELA                                ;JOANA DAYSE                                                 ;AVENIDA LUCIANO CARNEIRO                ;2414;VILA UNIAO          ;60410691;230440;-3.768.764;-38.538.141;202005
50016;MILENA VIANA DE HOLANDA                                     ;MILENA VIANA DE HOLANDA                                     ;RUA GONCALVES LEDO                      ;777;CENTRO              ;60060325;230440;-3.730.623;-38.515.833;202005
