Vigência	Município	"Qtd. Beneficiários
 A serem acompanhados"	Qtd. beneficiários acompanhados	Perc. cobertura de beneficiários acompanhados (%)	Qtd. criança a ser acompanhada	Qtd. criança acompanhada	Perc. cobertura do acomp. de crianças (%)	Qtd. criança com dados nutricionais	Perc. crianças com dados nutricionais (%)	Qtd. gestantes estimadas	Qtd. gestantes localizadas	Perc. de cobertura de gestantes localizadas (%)	Qtd. gestantes com dados nutric.	Perc. gestantes com dados nutric. (%)
2019_1	AQUIRAZ	21.204	19.784	93,30%	5.603	4.843	86,44%	4.841	99,96%	258	364	141,09%	220	60,44%
2019_1	EUSÉBIO	11.601	11.439	98,60%	3.100	3.035	97,90%	1.287	42,41%	208	172	82,69%	132	76,74%
2019_1	FORTALEZA	347.456	236.982	68,20%	105.128	55.878	53,15%	55.799	99,86%	4.465	8.211	183,90%	6.687	81,44%
2019_1	ITAITINGA	6.983	5.997	85,88%	2.078	1.618	77,86%	1.617	99,94%	102	105	102,94%	76	72,38%
2019_1	APUIARÉS	4.210	3.639	86,44%	1.010	791	78,32%	791	100%	36	90	250%	57	63,33%
2019_1	CAUCAIA	52.295	25.973	49,67%	16.964	6.403	37,74%	6.381	99,66%	721	977	135,51%	697	71,34%
2019_1	GENERAL SAMPAIO	2.701	2.384	88,26%	707	574	81,19%	574	100%	32	56	175%	43	76,79%
2019_1	ITAPAGÉ	10.102	8.851	87,62%	2.982	2.316	77,67%	2.315	99,96%	136	225	165,44%	123	54,67%
2019_1	PARACURU	10.012	8.653	86,43%	2.578	2.010	77,97%	1.952	97,11%	164	219	133,54%	132	60,27%
2019_1	PARAIPABA	8.749	7.735	88,41%	2.261	1.877	83,02%	1.875	99,89%	105	191	181,90%	84	43,98%
2019_1	PENTECOSTE	8.881	8.230	92,67%	2.297	2.026	88,20%	2.025	99,95%	91	170	186,81%	150	88,24%
2019_1	SÃO GONÇALO DO AMARANTE	13.336	13.072	98,02%	3.497	3.373	96,45%	3.367	99,82%	218	214	98,17%	180	84,11%
2019_1	SÃO LUÍS DO CURU	3.929	3.923	99,85%	929	925	99,57%	924	99,89%	46	25	54,35%	21	84%
2019_1	TEJUÇUOCA	6.838	6.347	92,82%	1.902	1.681	88,38%	1.680	99,94%	89	197	221,35%	150	76,14%
2019_1	ACARAPE	3.692	2.398	64,95%	1.110	521	46,94%	521	100%	49	75	153,06%	66	88%
2019_1	BARREIRA	6.927	6.166	89,01%	1.832	1.481	80,84%	1.481	100%	89	140	157,30%	91	65%
2019_1	GUAIUBA	6.843	5.598	81,81%	1.853	1.382	74,58%	1.382	100%	84	121	144,05%	96	79,34%
2019_1	MARACANAÚ	35.177	26.374	74,98%	10.346	6.707	64,83%	6.706	99,99%	583	540	92,62%	389	72,04%
2019_1	MARANGUAPE	26.382	21.594	81,85%	6.935	4.523	65,22%	4.375	96,73%	286	660	230,77%	476	72,12%
2019_1	PACATUBA	12.276	8.743	71,22%	3.675	2.124	57,80%	2.124	100%	125	272	217,60%	212	77,94%
2019_1	PALMÁCIA	3.306	3.089	93,44%	808	698	86,39%	697	99,86%	25	63	252%	54	85,71%
2019_1	REDENÇÃO	6.911	5.241	75,84%	1.951	1.147	58,79%	970	84,57%	93	127	136,56%	83	65,35%
2019_1	ARACOIABA	8.227	6.976	84,79%	2.126	1.563	73,52%	1.562	99,94%	118	167	141,53%	108	64,67%
2019_1	ARATUBA	3.963	3.543	89,40%	1.021	801	78,45%	801	100%	49	37	75,51%	33	89,19%
2019_1	BATURITÉ	10.406	8.425	80,96%	2.715	1.863	68,62%	1.859	99,79%	132	254	192,42%	120	47,24%
2019_1	CAPISTRANO	5.570	5.090	91,38%	1.451	1.188	81,87%	1.184	99,66%	67	121	180,60%	101	83,47%
2019_1	GUARAMIRANGA	1.522	1.411	92,71%	380	321	84,47%	321	100%	26	22	84,62%	16	72,73%
2019_1	ITAPIUNA	5.902	5.227	88,56%	1.487	1.194	80,30%	1.194	100%	63	80	126,98%	76	95%
2019_1	MULUNGU	3.337	2.782	83,37%	915	673	73,55%	673	100%	34	59	173,53%	46	77,97%
2019_1	PACOTI	3.287	3.120	94,92%	901	810	89,90%	810	100%	40	69	172,50%	48	69,57%
2019_1	AMONTADA	13.997	13.642	97,46%	3.897	3.769	96,72%	3.479	92,31%	205	212	103,41%	198	93,40%
2019_1	ITAPIPOCA	34.213	32.018	93,58%	10.281	9.301	90,47%	9.275	99,72%	531	1.022	192,47%	797	77,98%
2019_1	MIRAÍMA	3.975	3.836	96,50%	1.062	991	93,31%	991	100%	48	142	295,83%	132	92,96%
2019_1	TRAIRI	21.108	17.337	82,13%	5.852	4.440	75,87%	4.440	100%	290	409	141,03%	342	83,62%
2019_1	TURURU	5.824	5.261	90,33%	1.550	1.303	84,06%	1.303	100%	100	99	99%	72	72,73%
2019_1	UMIRIM	6.594	6.381	96,77%	1.786	1.678	93,95%	1.677	99,94%	80	141	176,25%	124	87,94%
2019_1	URUBURETAMA	7.973	7.243	90,84%	2.186	1.863	85,22%	1.701	91,30%	112	193	172,32%	155	80,31%
2019_1	BEBERIBE	14.411	11.024	76,50%	3.689	2.108	57,14%	1.927	91,41%	189	309	163,49%	221	71,52%
2019_1	CASCAVEL	18.292	17.403	95,14%	4.866	4.440	91,25%	4.439	99,98%	230	328	142,61%	259	78,96%
2019_1	CHOROZINHO	6.540	6.469	98,91%	1.571	1.541	98,09%	1.541	100%	75	136	181,33%	90	66,18%
2019_1	HORIZONTE	9.830	6.526	66,39%	3.203	1.200	37,46%	1.198	99,83%	151	231	152,98%	151	65,37%
2019_1	OCARA	7.419	7.022	94,65%	1.680	1.488	88,57%	1.484	99,73%	76	167	219,74%	109	65,27%
2019_1	PACAJUS	13.382	9.240	69,05%	3.662	2.049	55,95%	2.008	98%	147	332	225,85%	285	85,84%
2019_1	PINDORETAMA	6.710	6.489	96,71%	1.889	1.755	92,91%	1.755	100%	94	120	127,66%	112	93,33%
2019_1	BOA VIAGEM	14.754	12.485	84,62%	3.801	2.892	76,09%	2.892	100%	163	179	109,82%	123	68,72%
2019_1	CANINDÉ	21.406	14.817	69,22%	5.826	2.951	50,65%	2.951	100%	286	545	190,56%	479	87,89%
2019_1	CARIDADE	5.497	4.372	79,53%	1.665	1.214	72,91%	1.213	99,92%	57	179	314,04%	165	92,18%
2019_1	ITATIRA	7.524	6.644	88,30%	1.868	1.435	76,82%	1.435	100%	97	168	173,20%	129	76,79%
2019_1	MADALENA	5.236	4.590	87,66%	1.335	1.008	75,51%	1.008	100%	47	118	251,06%	55	46,61%
2019_1	PARAMOTI	3.746	3.551	94,79%	924	841	91,02%	841	100%	38	88	231,58%	62	70,45%
2019_1	BANABUIU	4.768	4.016	84,23%	1.421	1.095	77,06%	1.095	100%	76	110	144,74%	57	51,82%
2019_1	CHORÓ	3.561	2.977	83,60%	1.024	783	76,46%	783	100%	47	25	53,19%	23	92%
2019_1	IBARETAMA	4.347	3.753	86,34%	1.188	954	80,30%	954	100%	65	38	58,46%	36	94,74%
2019_1	IBICUITINGA	4.399	4.222	95,98%	1.093	1.016	92,96%	1.016	100%	47	52	110,64%	43	82,69%
2019_1	MILHÃ	4.090	3.849	94,11%	907	807	88,97%	807	100%	49	69	140,82%	66	95,65%
2019_1	PEDRA BRANCA	12.902	12.888	99,89%	2.982	2.974	99,73%	2.968	99,80%	135	233	172,59%	126	54,08%
2019_1	QUIXADÁ	24.274	23.629	97,34%	6.193	5.943	95,96%	5.943	100%	310	425	137,10%	312	73,41%
2019_1	QUIXERAMOBIM	17.281	15.099	87,37%	4.645	3.778	81,33%	3.778	100%	210	281	133,81%	252	89,68%
2019_1	SENADOR POMPEU	6.526	5.305	81,29%	1.710	1.194	69,82%	1.194	100%	72	111	154,17%	82	73,87%
2019_1	SOLONÓPOLES	3.398	2.488	73,22%	876	490	55,94%	490	100%	39	73	187,18%	38	52,05%
2019_1	AIUABA	4.839	4.438	91,71%	1.180	957	81,10%	956	99,90%	45	108	240%	99	91,67%
2019_1	ARNEIROZ	1.713	1.601	93,46%	417	364	87,29%	364	100%	17	52	305,88%	31	59,62%
2019_1	PARAMBU	7.036	6.501	92,40%	1.725	1.440	83,48%	1.439	99,93%	82	127	154,88%	97	76,38%
2019_1	TAUÁ	10.143	8.764	86,40%	2.523	1.889	74,87%	1.889	100%	127	180	141,73%	133	73,89%
2019_1	ALCÂNTARAS	2.019	1.708	84,60%	524	367	70,04%	367	100%	20	27	135%	15	55,56%
2019_1	CARIRÉ	4.318	4.318	100%	1.249	1.249	100%	1.245	99,68%	51	127	249,02%	115	90,55%
2019_1	CATUNDA	3.469	3.469	100%	870	870	100%	870	100%	24	58	241,67%	43	74,14%
2019_1	COREAÚ	7.005	7.000	99,93%	1.654	1.653	99,94%	1.653	100%	75	166	221,33%	155	93,37%
2019_1	FORQUILHA	6.093	5.702	93,58%	1.531	1.356	88,57%	1.356	100%	56	129	230,36%	94	72,87%
2019_1	FRECHEIRINHA	3.825	2.592	67,76%	1.166	593	50,86%	593	100%	53	54	101,89%	42	77,78%
2019_1	GRAÇA	4.198	3.960	94,33%	1.068	961	89,98%	960	99,90%	46	44	95,65%	35	79,55%
2019_1	GROAÍRAS	2.441	2.317	94,92%	561	495	88,24%	495	100%	24	69	287,50%	60	86,96%
2019_1	HIDROLÂNDIA	4.862	4.170	85,77%	1.247	930	74,58%	930	100%	42	137	326,19%	122	89,05%
2019_1	IPU	13.061	12.916	98,89%	3.308	3.247	98,16%	3.247	100%	157	312	198,73%	197	63,14%
2019_1	IRAUÇUBA	8.239	6.950	84,35%	2.160	1.613	74,68%	1.613	100%	98	188	191,84%	116	61,70%
2019_1	MASSAPÊ	9.186	8.564	93,23%	2.280	1.965	86,18%	1.965	100%	100	221	221%	135	61,09%
2019_1	MERUOCA	3.778	3.608	95,50%	1.004	926	92,23%	926	100%	41	69	168,29%	58	84,06%
2019_1	MORAÚJO	2.844	2.823	99,26%	708	702	99,15%	702	100%	28	40	142,86%	30	75%
2019_1	MUCAMBO	2.885	2.638	91,44%	743	619	83,31%	619	100%	32	49	153,13%	23	46,94%
2019_1	PACUJÁ	1.763	1.633	92,63%	459	401	87,36%	401	100%	16	26	162,50%	21	80,77%
2019_1	PIRES FERREIRA	2.432	2.396	98,52%	567	548	96,65%	548	100%	19	59	310,53%	57	96,61%
2019_1	RERIUTABA	4.033	2.271	56,31%	1.156	218	18,86%	216	99,08%	48	129	268,75%	112	86,82%
2019_1	SANTANA DO ACARAÚ	10.127	8.757	86,47%	2.598	2.002	77,06%	2.000	99,90%	115	252	219,13%	180	71,43%
2019_1	SANTA QUITÉRIA	10.772	8.602	79,86%	2.738	1.840	67,20%	1.836	99,78%	70	198	282,86%	91	45,96%
2019_1	SENADOR SÁ	2.180	1.934	88,72%	578	489	84,60%	489	100%	26	39	150%	24	61,54%
