CODIGO;DESCRICAO_CID;CATEGORIA
C00;Neoplasia maligna do l?io;Neoplasia maligna do l?io
C000;Neoplasia maligna do l?io superior externo;Neoplasia maligna do l?io
C001;Neoplasia maligna do l?io inferior externo;Neoplasia maligna do l?io
C002;"Neoplasia maligna do l?io externo, n? especificado";Neoplasia maligna do l?io
C003;"Neoplasia maligna do l?io superior, face interna";Neoplasia maligna do l?io
C004;"Neoplasia maligna do l?io inferior, face interna";Neoplasia maligna do l?io
C005;"Neoplasia maligna do l?io, sem especifica?o, face interna";Neoplasia maligna do l?io
C006;Neoplasia maligna da comissura labial;Neoplasia maligna do l?io
C008;Neoplasia maligna do l?io com les? invasiva;Neoplasia maligna do l?io
C009;"Neoplasia maligna do l?io, n? especificado";Neoplasia maligna do l?io
C01;Neoplasia maligna da base da l?gua;Neoplasia maligna da base da l?gua
C02;Neoplasia maligna de outras partes e de partes n? especificadas da l?gua;Neoplasia maligna da base da l?gua
C020;Neoplasia maligna da face dorsal da l?gua;Neoplasia maligna da base da l?gua
C021;Neoplasia maligna da borda da l?gua;Neoplasia maligna da base da l?gua
C022;Neoplasia maligna da face ventral da l?gua;Neoplasia maligna da base da l?gua
C023;"Neoplasia maligna de dois ter?s anteriores da l?gua, parte n? especificada";Neoplasia maligna da base da l?gua
C024;Neoplasia maligna da am?dala lingual;Neoplasia maligna da base da l?gua
C028;Neoplasia maligna da l?gua com les? invasiva;Neoplasia maligna da base da l?gua
C029;"Neoplasia maligna da l?gua, n? especificada";Neoplasia maligna da base da l?gua
C03;Neoplasia maligna da gengiva;Neoplasia maligna da gengiva
C030;Neoplasia maligna da gengiva superior;Neoplasia maligna da gengiva
C031;Neoplasia maligna da gengiva inferior;Neoplasia maligna da gengiva
C039;"Neoplasia maligna da gengiva, n? especificada";Neoplasia maligna da gengiva
C04;Neoplasia maligna do assoalho da boca;Neoplasia maligna do assoalho da boca
C040;Neoplasia maligna do assoalho anterior da boca;Neoplasia maligna do assoalho da boca
C041;Neoplasia maligna do assoalho lateral da boca;Neoplasia maligna do assoalho da boca
C048;Neoplasia maligna do assoalho da boca com les? invasiva;Neoplasia maligna do assoalho da boca
C049;"Neoplasia maligna do assoalho da boca, n? especificado";Neoplasia maligna do assoalho da boca
C05;Neoplasia maligna do palato;Neoplasia maligna do palato
C050;Neoplasia maligna do palato duro;Neoplasia maligna do palato
C051;Neoplasia maligna do palato mole;Neoplasia maligna do palato
C052;Neoplasia maligna da ?ula;Neoplasia maligna do palato
C058;Neoplasia maligna do palato com les? invasiva;Neoplasia maligna do palato
C059;"Neoplasia maligna do palato, n? especificado";Neoplasia maligna do palato
C06;Neoplasia maligna de outras partes e de partes n? especificadas da boca;Neoplasia maligna de outras partes e de partes n? especificadas da boca
C060;Neoplasia maligna da mucosa oral;Neoplasia maligna de outras partes e de partes n? especificadas da boca
C061;Neoplasia maligna do vest?ulo da boca;Neoplasia maligna de outras partes e de partes n? especificadas da boca
C062;Neoplasia maligna da ?ea retromolar;Neoplasia maligna de outras partes e de partes n? especificadas da boca
C068;Neoplasia maligna de outras partes e de partes n? especificadas da boca com les? invasiva;Neoplasia maligna de outras partes e de partes n? especificadas da boca
C069;"Neoplasia maligna da boca, n? especificada";Neoplasia maligna de outras partes e de partes n? especificadas da boca
C07;Neoplasia maligna da gl?dula par?ida;Neoplasia maligna da gl?dula par?ida
C08;Neoplasia maligna de outras gl?dulas salivares maiores e as n? especificadas;Neoplasia maligna de outras gl?dulas salivares maiores e as n? especificadas
C080;Neoplasia maligna da gl?dula submandibular;Neoplasia maligna de outras gl?dulas salivares maiores e as n? especificadas
C081;Neoplasia maligna da gl?dula sublingual;Neoplasia maligna de outras gl?dulas salivares maiores e as n? especificadas
C088;Neoplasia maligna das gl?dulas salivares maiores com les? invasiva;Neoplasia maligna de outras gl?dulas salivares maiores e as n? especificadas
C089;"Neoplasia maligna da gl?dula salivar maior, n? especificada";Neoplasia maligna de outras gl?dulas salivares maiores e as n? especificadas
C09;Neoplasia maligna da am?dala;Neoplasia maligna da am?dala
C090;Neoplasia maligna da fossa amigdaliana;Neoplasia maligna da am?dala
C091;Neoplasia maligna do pilar amigdaliano (anterior) (posterior);Neoplasia maligna da am?dala
C098;Neoplasia maligna da am?dala com les? invasiva;Neoplasia maligna da am?dala
C099;"Neoplasia maligna da am?dala, n? especificada";Neoplasia maligna da am?dala
C10;Neoplasia maligna da orofaringe;Neoplasia maligna da orofaringe
C100;Neoplasia maligna da val?ula;Neoplasia maligna da orofaringe
C101;Neoplasia maligna da face anterior da epiglote;Neoplasia maligna da orofaringe
C102;Neoplasia maligna da parede lateral da orofaringe;Neoplasia maligna da orofaringe
C103;Neoplasia maligna da parede posterior da orofaringe;Neoplasia maligna da orofaringe
C104;Neoplasia maligna da fenda branquial;Neoplasia maligna da orofaringe
C108;Neoplasia maligna da orofaringe com les? invasiva;Neoplasia maligna da orofaringe
