Procedimento;Classificação;D.V.;Descrição;Valor
9965;06.04.36.004;5;ATORVASTATINA 80 MG (POR COMPRIMIDO);"0,00"
9911;06.04.27.001;1;BEZAFIBRATO 200 MG (POR DRAGEA OU COMPRIMIDO);"0,00"
9892;06.04.18.002;0;CLOBAZAM 20 MG (POR COMPRIMIDO);"0,00"
10423;06.04.49.001;1;ENTACAPONA 200 MG (POR COMPRIMIDO);"1,71"
21287;03.01.04.007;9;ESCUTA INICIAL / ORIENTACAO (ACOLHIMENTO A DEMANDA ESPONT NEA);"0,00"
9914;06.04.27.004;6;ETOFIBRATO 500 MG (POR CAPSULA);"0,00"
9836;06.04.04.005;9;FORMOTEROL 12 MCG + BUDESONIDA 400 MCG PO INALANTE (POR FRASCO DE 60 DOSES);"0,00"
9838;06.04.04.007;5;FORMOTEROL 6MCG + BUDESONIDA 200 MCG (POR CAPSULA INALANTE);"0,00"
10027;04.04.03.022;0;IMPLANTE OSTEOINTEGRADO EXTRA-ORAL BUCO-MAXILO-FACIAL;"800,00"
9979;06.04.38.004;6;INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML);"0,00"
10454;06.04.59.001;6;ISOTRETINOINA 10 MG (POR CAPSULA);"0,00"
10427;06.04.50.003;3;LAMOTRIGINA 25 MG (POR COMPRIMIDO);"0,00"
9845;06.04.05.005;4;MORFINA 10 MG/ML (POR AMPOLA DE 1 ML);"0,00"
9971;06.04.36.010;0;PRAVASTATINA 10 MG (POR COMPRIMIDO);"0,00"
9879;06.04.15.001;6;PRIMIDONA 100 MG (POR COMPRIMIDO);"0,00"
2529;04.04.03.016;5;RINOPLASTIA EM PACIENTE COM ANOMALIA CRANIO E BUCOMAXILOFACIAL;"444,20"
9960;06.04.34.007;9;TACROLIMO 5 MG (POR CAPSULA);"0,00"
10371;06.03.05.011;5;TENECTEPLASE 40 MG INJETAVEL (POR FRASCO AMPOLA) DE USO NAS URGENCIAS PRE-HOSPITALARES;"1.810,00"
10548;04.04.01.049;0;TRATAMENTO CIRURGICO DE IMPERFURACAO COANAL (UNI / BILATERAL);"265,23"
29569;06.04.32.014;0;ABATACEPTE 125 MG INJETAVEL (POR SERINGA PREENCHIDA);"0,00"
10242;06.04.32.012;4;ABATACEPTE 250 MG INJETAVEL (POR FRASCO AMPOLA).;"0,00"
4529;06.03.05.001;8;ABCIXIMABE;"873,00"
2755;04.06.01.001;3;ABERTURA DE COMUNICACAO INTER-ATRIAL;"12.246,65"
2770;04.06.01.002;1;ABERTURA DE ESTENOSE AORTICA VALVAR;"7.445,17"
45838;04.06.01.126;5;ABERTURA DE ESTENOSE AORTICA VALVAR (CRIANCA E ADOLESCENTE);"12.820,88"
2757;04.06.01.003;0;ABERTURA DE ESTENOSE PULMONAR VALVAR;"7.445,17"
45839;04.06.01.127;3;ABERTURA DE ESTENOSE PULMONAR VALVAR (CRIANCA E ADOLESCENTE);"10.948,62"
6145;03.01.08.001;1;ABORDAGEM COGNITIVA COMPORTAMENTAL DO FUMANTE (POR ATENDIMENTO / PACIENTE);"0,00"
12;01.01.02.001;5;ACAO COLETIVA DE APLICACAO TOPICA DE FLUOR GEL;"0,00"
6001;01.01.02.002;3;ACAO COLETIVA DE BOCHECHO FLUORADO;"0,00"
11;01.01.02.003;1;ACAO COLETIVA DE ESCOVACAO DENTAL SUPERVISIONADA;"0,00"
13;01.01.02.004;0;ACAO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLOGICA;"0,00"
1414;03.07.02.001;0;ACESSO A POLPA DENTARIA E MEDICACAO (POR DENTE);"0,00"
10274;06.04.66.003;0;ACETAZOLAMIDA 250 MG (POR COMPRIMIDO);"0,00"
10250;02.02.01.078;3;ACIDEZ TITULAVEL NO LEITE HUMANO (DORNIC);"3,04"
10258;06.04.27.009;7;ACIDO NICOTINICO 250MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA);"0,00"
10259;06.04.27.010;0;ACIDO NICOTINICO 500MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA);"0,00"
10260;06.04.27.011;9;ACIDO NICOTINICO 750 MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA);"0,00"
638;02.02.09.001;9;ACIDO URICO LIQUIDO NO SINOVIAL E DERRAMES;"1,89"
10456;06.04.60.001;1;ACITRETINA 10 MG (POR CAPSULA);"2,74"
10457;06.04.60.002;0;ACITRETINA 25 MG (POR CAPSULA);"6,73"
10149;03.01.08.025;9;ACOES DE ARTICULACAO DE REDES INTRA E INTERSETORIAIS;"0,00"
10158;03.01.08.034;8;ACOES DE REABILITACAO PSICOSSOCIAL;"0,00"
10155;03.01.08.031;3;ACOES DE REDUCAO DE DANOS;"0,00"
6237;05.03.01.001;4;ACOES RELACIONADAS A DOACAO DE ORGAOS E TECIDOS PARA TRANSPLANTE;"0,00"
6238;05.03.01.002;2;ACOES RELACIONADAS A DOACAO DE ORGAOS E TECIDOS REALIZADAS POR EQUIPE DE OUTRO ESTABELECIMENTO DE SAUDE;"0,00"
10357;03.01.06.011;8;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;"0,00"
10143;03.01.08.019;4;ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL;"0,00"
2052;03.01.08.003;8;ACOLHIMENTO EM TERCEIRO TURNO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL;"0,00"
10147;03.01.08.023;2;ACOLHIMENTO INICIAL POR CENTRO DE ATENCAO PSICOSSOCIAL;"0,00"
1695;03.01.08.002;0;ACOLHIMENTO NOTURNO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL;"0,00"
10162;03.01.08.038;0;"ACOMPANHAMENTO DA POPULAÇÃO INFANTO-JUVENIL COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO DE CRACK, ÁLCOOL E OUTRAS DROGAS- UNIDADE DE ACOLHIMENTO INFANTO-JUVENIL (UAI)";"0,00"
9769;05.06.01.003;1;"ACOMPANHAMENTO DE DOADOR VIVO POS-DOACAO DE FIGADO, PULMAO OU RIM";"135,00"
2056;03.01.12.001;3;ACOMPANHAMENTO DE PACIENTE C/ FENILCETONURIA;"27,50"
2059;03.01.12.002;1;ACOMPANHAMENTO DE PACIENTE C/ FIBROSE CISTICA;"27,50"
2057;03.01.12.004;8;ACOMPANHAMENTO DE PACIENTE C/ HIPOTIREOIDISMO CONGENITO;"27,50"
1777;03.01.07.001;6;ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR;"58,62"
2058;03.01.12.003;0;ACOMPANHAMENTO DE PACIENTE COM HEMOGLOBINOPATIAS;"27,50"
10360;03.01.07.019;9;ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR;"58,62"
10359;03.01.07.018;0;ACOMPANHAMENTO DE PACIENTE COM PROTESE AUDITIVA ANCORADA NO OSSO;"58,62"
2127;03.01.07.002;4;ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA;"17,67"
2048;03.01.08.004;6;ACOMPANHAMENTO DE PACIENTE EM SAUDE MENTAL (RESIDENCIA TERAPEUTICA);"0,00"
10345;03.01.05.015;5;ACOMPANHAMENTO DE PACIENTE EM TERAPIA NUTRICIONAL;"0,00"
6213;03.01.11.001;8;ACOMPANHAMENTO DE PACIENTE MEDIO / GRANDE QUEIMADO;"15,75"
1774;03.01.07.003;2;ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / BILATERAL;"21,68"
4054;03.01.11.002;6;ACOMPANHAMENTO DE PACIENTE PEQUENO QUEIMADO;"10,50"
2064;03.01.02.001;9;ACOMPANHAMENTO DE PACIENTE PORTADOR DE AGRAVOS RELACIONADOS AO TRABALHO;"0,00"
2063;03.01.02.002;7;ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO;"0,00"
6269;03.01.12.005;6;ACOMPANHAMENTO DE PACIENTE POS-CIRURGIA BARIATRICA POR EQUIPE MULTIPROFISSIONAL;"40,00"
4281;05.06.01.001;5;ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORNEA;"115,00"
4282;05.06.01.002;3;ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE RIM FIGADO CORACAO PULMAO CELULAS-TRONCO HEMATOPOETICAS E/OU PANCREAS;"135,00"
10237;03.01.12.008;0;ACOMPANHAMENTO DE PACIENTE PRE-CIRURGIA BARIATRICA POR EQUIPE MULTIPROFISSIONAL;"40,00"
9807;05.06.01.004;0;ACOMPANHAMENTO DE PACIENTES NO PRE TRANSPLANTE DE ORGAOS;"135,00"
10161;03.01.08.037;2;"NHAMENTO DE PESSOAS ADULTAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO DE CRACK, ÁLCOOL E OUTRAS DROGAS-UNIDADE DE ACOLHIMENTO ADULTO (UAA)";"0,00"
10160;03.01.08.036;4;"ACOMPANHAMENTO DE PESSOAS COM NECESSIDADES DECORRENTES DO USO DE ÁLCOOL, CRACK E OUTRAS DROGAS EM SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO (COMUNIDADES TERAPÊUTICAS)";"0,00"
10156;03.01.08.032;1;ACOMPANHAMENTO DE SERVICO RESIDENCIAL TERAPEUTICO POR CENTRO DE ATENCAO PSICOSSOCIAL;"0,00"
2061;03.03.05.001;2;ACOMPANHAMENTO E AVALIACAO DE GLAUCOMA POR FUNDOSCOPIA E TONOMETRIA;"17,74"
2060;03.01.05.001;5;ACOMPANHAMENTO E AVALIACAO DOMICILIAR DE PACIENTE SUBMETIDO A VENTILACAO MECANICA NAO INVASIVA - PACIENTE/MES;"55,00"
10165;03.01.12.007;2;ACOMPANHAMENTO EM SERVICO DE REFERENCIA DE TRIAGEM NEONATAL (SRTN) PACIENTE COM DEFICIENCIA DE BIOTINIDASE;"27,50"
10164;03.01.12.006;4;ACOMPANHAMENTO EM SERVICO DE REFERENCIA EM TRIAGEM NEONATAL (SRTN) - HIPERPLASIA ADRENAL CONGENITA;"27,50"
10342;03.01.13.005;1;ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE;"0,00"
10343;03.01.13.006;0;ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE;"0,00"
2122;03.01.07.004;0;ACOMPANHAMENTO NEUROPSICOLOGICO DE PACIENTE EM REABILITACAO;"17,67"
10301;03.01.13.003;5;ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADO EXCLUSIVAMENTE PARA ATENDIMENTO CLINICO;"39,38"
10302;03.01.13.004;3;ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADOR EXCLUSIVO NAS ETAPAS DO PRE E POS-OPERATORIO;"39,38"
2125;03.01.07.005;9;ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO;"17,67"
10335;03.01.01.022;6;ACONSELHAMENTO GENETICO;"100,00"
