CHAVE,FORMA,GRUPO,PROCEDIMENTO,SUBGRUPO
101010010,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO BÁSICA,Ações coletivas/individuais em saúde
101010028,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA,Ações coletivas/individuais em saúde
101010036,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO,Ações coletivas/individuais em saúde
101010044,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,PRÁTICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA,Ações coletivas/individuais em saúde
101010052,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,TERAPIA COMUNITARIA,Ações coletivas/individuais em saúde
101010060,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,DANÇA CIRCULAR/BIODANÇA,Ações coletivas/individuais em saúde
101010079,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,YOGA,Ações coletivas/individuais em saúde
101010087,Educação em saúde,Açőes de promoçăo e prevençăo em saúde,OFICINA DE MASSAGEM/ AUTO-MASSAGEM,Ações coletivas/individuais em saúde
101020015,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL,Ações coletivas/individuais em saúde
101020023,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,AÇÃO COLETIVA DE BOCHECHO FLUORADO,Ações coletivas/individuais em saúde
101020031,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA,Ações coletivas/individuais em saúde
101020040,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA,Ações coletivas/individuais em saúde
101020058,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,APLICAÇÃO DE CARIOSTÁTICO (POR DENTE),Ações coletivas/individuais em saúde
101020066,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,APLICAÇÃO DE SELANTE (POR DENTE),Ações coletivas/individuais em saúde
101020074,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO),Ações coletivas/individuais em saúde
101020082,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,EVIDENCIAÇÃO DE PLACA BACTERIANA,Ações coletivas/individuais em saúde
101020090,Saúde bucal,Açőes de promoçăo e prevençăo em saúde,SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA,Ações coletivas/individuais em saúde
101030010,Visita domiciliar,Açőes de promoçăo e prevençăo em saúde,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO,Ações coletivas/individuais em saúde
101030029,Visita domiciliar,Açőes de promoçăo e prevençăo em saúde,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR,Ações coletivas/individuais em saúde
