uf_nome;uf;municipio;populacao;ibge;IBGE_SEMCOD;ADS;SRS
CE;23;Abaiara;11853;2300101;230010;BREJO SANTO;CARIRI
CE;23;Acarape;15036;2300150;230015;MARACANAU;FORTALEZA
CE;23;Acaraú;63104;2300200;230020;ACARAU;SOBRAL
CE;23;Acopiara;54481;2300309;230030;IGUATU;CARIRI
CE;23;Aiuaba;17493;2300408;230040;TAUA;SERTAO CENTRAL
CE;23;Alcântaras;11781;2300507;230050;SOBRAL;SOBRAL
CE;23;Altaneira;7650;2300606;230060;CRATO;CARIRI
CE;23;Alto Santo;17196;2300705;230070;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Amontada;43829;2300754;230075;ITAPIPOCA;FORTALEZA
CE;23;Antonina do Norte;7378;2300804;230080;CRATO;CARIRI
CE;23;Apuiarés;14672;2300903;230090;CAUCAIA;FORTALEZA
CE;23;Aquiraz;80935;2301000;230100;FORTALEZA;FORTALEZA
CE;23;Aracati;74975;2301109;230110;ARACATI;LITORAL LESTE/JAGUARIBE
CE;23;Aracoiaba;26535;2301208;230120;BATURITE;FORTALEZA
CE;23;Ararendá;10959;2301257;230125;CRATEUS;SOBRAL
CE;23;Araripe;21654;2301307;230130;CRATO;CARIRI
CE;23;Aratuba;11802;2301406;230140;BATURITE;FORTALEZA
CE;23;Arneiroz;7844;2301505;230150;TAUA;SERTAO CENTRAL
CE;23;Assaré;23478;2301604;230160;CRATO;CARIRI
CE;23;Aurora;24610;2301703;230170;BREJO SANTO;CARIRI
CE;23;Baixio;6303;2301802;230180;ICO;CARIRI
CE;23;Banabuiú;18256;2301851;230185;QUIXADA;SERTAO CENTRAL
CE;23;Barbalha;61228;2301901;230190;JUAZEIRO;CARIRI
CE;23;Barreira;22573;2301950;230195;MARACANAU;FORTALEZA
CE;23;Barro;22758;2302008;230200;BREJO SANTO;CARIRI
CE;23;Barroquinha;15044;2302057;230205;CAMOCIM;SOBRAL
CE;23;Baturité;35941;2302107;230210;BATURITE;FORTALEZA
CE;23;Beberibe;53949;2302206;230220;CASCAVEL;FORTALEZA
CE;23;Bela Cruz;32722;2302305;230230;ACARAU;SOBRAL
CE;23;Boa Viagem;54577;2302404;230240;CANINDE;SERTAO CENTRAL
CE;23;Brejo Santo;49842;2302503;230250;BREJO SANTO;CARIRI
CE;23;Camocim;63907;2302602;230260;CAMOCIM;SOBRAL
CE;23;Campos Sales;27470;2302701;230270;CRATO;CARIRI
CE;23;Canindé;77244;2302800;230280;CANINDE;SERTAO CENTRAL
CE;23;Capistrano;17786;2302909;230290;BATURITE;FORTALEZA
CE;23;Caridade;22782;2303006;230300;CANINDE;SERTAO CENTRAL
CE;23;Cariré;18459;2303105;230310;SOBRAL;SOBRAL
CE;23;Caririaçu;26987;2303204;230320;JUAZEIRO;CARIRI
CE;23;Cariús;18699;2303303;230330;IGUATU;CARIRI
CE;23;Carnaubal;17685;2303402;230340;TIANGUA;SOBRAL
CE;23;Cascavel;72232;2303501;230350;CASCAVEL;FORTALEZA
CE;23;Catarina;20871;2303600;230360;IGUATU;CARIRI
CE;23;Catunda;10376;2303659;230365;SOBRAL;SOBRAL
CE;23;Caucaia;365212;2303709;230370;CAUCAIA;FORTALEZA
CE;23;Cedro;25585;2303808;230380;ICO;CARIRI
CE;23;Chaval;13091;2303907;230390;CAMOCIM;SOBRAL
CE;23;Choró;13565;2303931;230393;QUIXADA;SERTAO CENTRAL
CE;23;Chorozinho;20274;2303956;230395;CASCAVEL;FORTALEZA
CE;23;Coreaú;23239;2304004;230400;SOBRAL;SOBRAL
CE;23;Crateús;75159;2304103;230410;CRATEUS;SOBRAL
CE;23;Crato;133031;2304202;230420;CRATO;CARIRI
CE;23;Croatá;18133;2304236;230423;TIANGUA;SOBRAL
CE;23;Cruz;24977;2304251;230425;ACARAU;SOBRAL
CE;23;Deputado Irapuan Pinheiro;9662;2304269;230426;IGUATU;CARIRI
CE;23;Ereré;7225;2304277;230427;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Eusébio;54337;2304285;230428;FORTALEZA;FORTALEZA
CE;23;Farias Brito;19389;2304301;230430;CRATO;CARIRI
CE;23;Forquilha;24452;2304350;230435;SOBRAL;SOBRAL
CE;23;Fortaleza;2686612;2304400;230440;FORTALEZA;FORTALEZA
CE;23;Fortim;16631;2304459;230445;ARACATI;LITORAL LESTE/JAGUARIBE
CE;23;Frecheirinha;14134;2304509;230450;SOBRAL;SOBRAL
CE;23;General Sampaio;7694;2304608;230460;CAUCAIA;FORTALEZA
CE;23;Graça;14407;2304657;230465;SOBRAL;SOBRAL
CE;23;Granja;54962;2304707;230470;CAMOCIM;SOBRAL
CE;23;Granjeiro;4814;2304806;230480;JUAZEIRO;CARIRI
CE;23;Groaíras;11144;2304905;230490;SOBRAL;SOBRAL
CE;23;Guaiúba;26290;2304954;230495;MARACANAU;FORTALEZA
CE;23;Guaraciaba do Norte;40784;2305001;230500;TIANGUA;SOBRAL
CE;23;Guaramiranga;5132;2305100;230510;BATURITE;FORTALEZA
CE;23;Hidrolândia;20053;2305209;230520;SOBRAL;SOBRAL
CE;23;Horizonte;68529;2305233;230523;CASCAVEL;FORTALEZA
CE;23;Ibaretama;13369;2305266;230526;QUIXADA;SERTAO CENTRAL
CE;23;Ibiapina;25082;2305308;230530;TIANGUA;SOBRAL
CE;23;Ibicuitinga;12629;2305332;230533;QUIXADA;SERTAO CENTRAL
CE;23;Icapuí;20060;2305357;230535;ARACATI;LITORAL LESTE/JAGUARIBE
CE;23;Icó;68162;2305407;230540;ICO;CARIRI
CE;23;Iguatu;103074;2305506;230550;IGUATU;CARIRI
CE;23;Independência;26187;2305605;230560;CRATEUS;SOBRAL
CE;23;Ipaporanga;11596;2305654;230565;CRATEUS;SOBRAL
CE;23;Ipaumirim;12485;2305704;230570;ICO;CARIRI
CE;23;Ipu;42058;2305803;230580;SOBRAL;SOBRAL
CE;23;Ipueiras;38114;2305902;230590;CRATEUS;SOBRAL
CE;23;Iracema;14326;2306009;230600;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Irauçuba;24305;2306108;230610;SOBRAL;SOBRAL
CE;23;Itaiçaba;7866;2306207;230620;ARACATI;LITORAL LESTE/JAGUARIBE
CE;23;Itaitinga;38325;2306256;230625;FORTALEZA;FORTALEZA
CE;23;Itapajé;53067;2306306;230630;CAUCAIA;FORTALEZA
CE;23;Itapipoca;130539;2306405;230640;ITAPIPOCA;FORTALEZA
CE;23;Itapiúna;20520;2306504;230650;BATURITE;FORTALEZA
